env,seed,cycle,anchor,kernel,raw_reward,shaped_reward,penalty,joint,success,any_event,cost_mean,event,excess
DiagReachK2,187,6,11,det_old,8.999728039426554,8.995939530951727,0.0037885084748268127,0.96875,1.0,0.03125,"[5.493379086256027, 5.383608616888523]","[0.03125, 0.0]","[0.0007577016949653625, 0.0]"
DiagReachK2,187,6,11,det_timeKL,8.770461665833135,8.770461665833135,0.0,1.0,1.0,0.0,"[4.7253828048706055, 4.954566538333893]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,187,6,11,det_timeW2,8.863524929484992,8.863524929484992,0.0,1.0,1.0,0.0,"[4.928178183734417, 5.211588121950626]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,187,6,11,det_cfKL,8.657452525156987,8.657452525156987,0.0,1.0,1.0,0.0,"[4.422198921442032, 4.628101788461208]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,187,6,11,det_cfW2,8.793159653211479,8.793159653211479,0.0,1.0,1.0,0.0,"[4.777293682098389, 5.01894673705101]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,187,18,13,sample_old,6.669560399295733,5.064279510097549,1.605280889198184,0.203125,0.390625,0.40625,"[4.10579322790727, 4.5251139351166785]","[0.234375, 0.25]","[0.06791841362913449, 0.05614670490225156]"
DiagReachK2,187,18,13,sample_timeKL,6.677106577047379,5.34175171990064,1.33535485714674,0.1875,0.34375,0.40625,"[4.009345337282866, 4.5036801574751735]","[0.234375, 0.265625]","[0.052188700685898454, 0.05685646335283916]"
DiagReachK2,187,18,13,sample_timeW2,6.705282424674442,5.3497914467985535,1.3554909778758883,0.1875,0.34375,0.40625,"[4.048814345616847, 4.516829204745591]","[0.234375, 0.265625]","[0.05331976835926373, 0.05710701396067938]"
DiagReachK2,187,18,13,sample_cfKL,6.586655196476567,5.346917696039963,1.239737500436604,0.1875,0.390625,0.375,"[3.641511615831405, 4.600733716506511]","[0.171875, 0.25]","[0.037816399087508515, 0.05389866605401039]"
DiagReachK2,187,18,13,sample_cfW2,6.568517533718296,5.3090445256146275,1.2594730081036687,0.171875,0.390625,0.390625,"[3.685766323003918, 4.546970546245575]","[0.1875, 0.25]","[0.04091789945960045, 0.052722871303558363]"
DiagReachK2,187,18,13,det_old,8.390716281459486,8.390716281459486,0.0,1.0,1.0,0.0,"[3.9163825176656246, 4.764303267002106]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,187,18,13,det_timeKL,8.525560140313383,8.525560140313383,0.0,1.0,1.0,0.0,"[4.160683412104845, 4.814603164792061]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,187,18,13,det_timeW2,8.553443262899282,8.553443262899282,0.0,1.0,1.0,0.0,"[4.235776279121637, 4.8347108066082]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,187,18,13,det_cfKL,7.914055707934859,7.914055707934859,0.0,1.0,1.0,0.0,"[3.1381318010389805, 4.801452785730362]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,187,18,13,det_cfW2,7.910561638679792,7.910561638679792,0.0,1.0,1.0,0.0,"[3.186510607600212, 4.708934523165226]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK3,180,6,16,sample_old,7.16886191500862,5.506940124207631,1.6619217908009887,0.28125,0.390625,0.359375,"[5.937599400058389, 3.9029172537848353, 8.607608880847692]","[0.3125, 0.109375, 0.109375]","[0.08364709253822053, 0.020976855204655576, 0.013056732416152957]"
DiagReachK3,180,6,16,sample_timeKL,7.327325182741038,6.057819599991195,1.2695055827498436,0.375,0.46875,0.296875,"[5.853716443292797, 4.14178910292685, 8.797463361173868]","[0.234375, 0.109375, 0.09375]","[0.0634237730077335, 0.019971745518537674, 0.010290807485580443]"
DiagReachK3,180,6,16,sample_timeW2,7.289283636587788,6.107293616610696,1.1819900199770927,0.375,0.46875,0.296875,"[5.812302810139954, 4.016831126529723, 8.621699668467045]","[0.234375, 0.109375, 0.09375]","[0.06125576581273762, 0.017624536385902993, 0.0088289749622345]"
DiagReachK3,180,6,16,sample_cfKL,7.128512958947521,5.890179934862953,1.238333024084568,0.328125,0.390625,0.28125,"[5.289274295791984, 4.131343807093799, 8.220011187717319]","[0.203125, 0.109375, 0.078125]","[0.05461198304380689, 0.02311507096657386, 0.009479992389678959]"
DiagReachK3,180,6,16,sample_cfW2,7.088577050608001,5.949700192440651,1.1388768581673503,0.328125,0.390625,0.25,"[5.213104427326471, 4.012938696891069, 8.025999608449638]","[0.171875, 0.109375, 0.0625]","[0.05243007519415447, 0.02006461299382723, 0.00792935252189636]"
DiagReachK3,180,6,16,det_old,8.957067610759987,8.956220852275147,0.0008467584848403931,0.984375,1.0,0.015625,"[6.6727574691176414, 4.597343027591705, 10.269475743174553]","[0.015625, 0.0, 0.0]","[0.0001693516969680786, 0.0, 0.0]"
DiagReachK3,180,6,16,det_timeKL,8.93626102793787,8.93626102793787,0.0,1.0,1.0,0.0,"[6.514260180294514, 5.058662325143814, 10.573424056172371]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
