method,task,variant,margin,seed,mode,ck,ver_blocks,ver_eps,ver_hv,ver_rate,ver_ret,ver_soft,jc,csr25
FDPI,pp2,fdpi,n/a,s1,final,995001,3,312,2,0.00641025641025641,6.335640390386298,0.16987179487179485,0.1762820512820513,1.0
FDPI,pp2,fdpi,n/a,s2,final,995001,3,312,2,0.00641025641025641,7.069281958961821,0.23076923076923075,0.2371794871794872,0.9967948717948718
FDPI,pp2,fdpi,n/a,s3,final,995001,3,312,0,0.0,7.835228163620433,0.4615384615384615,0.4615384615384615,0.9871794871794872
SAC-Lag,cg2,lag002,lim.02,s3,final,995002,3,312,8,0.02564102564102564,23.281979937882657,25.769230769230774,25.810897435897434,0.625
SAC-Lag,pg2,lag002,lim.02,s3,final,995002,3,312,0,0.0,2.6595610253720854,0.0673076923076923,0.0673076923076923,1.0
SAC-Lag,cg2,lag05,lim.50,s3,final,995002,3,312,62,0.1987179487179487,28.512776204025172,37.57692307692307,37.894230769230774,0.42628205128205127
SAC-Lag,pg2,lag05,lim.50,s3,final,995002,3,312,25,0.08012820512820513,13.09810795950348,5.94551282051282,6.198717948717949,0.9358974358974358
SAC-Lag,cp2,lag,lagr,s1,final,995002,3,312,6,0.019230769230769232,10.322277162544855,2.301282051282051,2.6025641025641026,0.9839743589743589
SAC-Lag,cp2,lag,lagr,s2,final,995002,3,312,13,0.041666666666666664,10.345759863549118,4.006410256410256,5.003205128205129,0.9711538461538461
SAC-Lag,cp2,lag,lagr,s3,final,995002,3,312,8,0.02564102564102564,12.21824569056706,2.4230769230769234,2.503205128205128,0.9903846153846154
SAC-Lag,pp2,lag,lagr,s1,final,995002,3,312,3,0.009615384615384616,6.392999721718669,0.8044871794871794,1.4423076923076923,0.9903846153846154
SAC-Lag,pp2,lag,lagr,s2,final,995002,3,312,2,0.00641025641025641,5.747048981278115,0.5160256410256411,0.5288461538461539,0.9935897435897436
SAC-Lag,pp2,lag,lagr,s3,final,995002,3,312,0,0.0,3.5627519710739293,0.14102564102564105,0.14102564102564105,0.9967948717948718
SAC-Pen,pp2,pen20,coef20,s1,final,995002,3,312,5,0.016025641025641024,1.4475415400368223,0.2788461538461538,0.3141025641025641,0.9935897435897436
SAC-Pen,pp2,pen20,coef20,s2,final,995002,3,312,1,0.003205128205128205,1.441039993569313,0.14102564102564102,0.14423076923076925,1.0
SAC-Pen,pp2,pen20,coef20,s3,final,995002,3,312,3,0.009615384615384616,0.5370958939826566,0.0,0.028846153846153844,1.0
SAC-Pen,cp2,pen5,coef5,s1,final,995002,3,312,18,0.057692307692307696,13.021536156291504,10.157051282051283,11.057692307692307,0.923076923076923
