job,env,seed,metric,estimator,cycle,selected_source,accepted,effective_update,middle_solver_accepted,middle_distance_active,recovery,reward_gain,reward_advantage_std,reward_advantage_mean,Jhat,predicted_cost,cost_advantage_std,baseline_seconds,solver_seconds,raw_KL,raw_W2
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,23,old,True,False,True,True,False,1.9324805899508384,2.6907392053774633,-0.17111864332138182,"[4.5197272300720215, 5.72653865814209]","[4.10086180442478, 4.9576228928530215]","[1.6556823491963268, 1.923711036849793]",0.004214583896100521,0.4252207279205322,0.01000000311829923,0.020903023668279133
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,24,old,True,False,True,True,False,0.9534522547666132,1.17632710021067,-0.03699317087208166,"[4.371568202972412, 4.969094276428223]","[4.882300018746613, 4.198804692887591]","[1.03895275564214, 1.3113663620818539]",0.004197499714791775,0.39323949813842773,0.009999998961034885,0.024304408864962667
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,0,old,True,False,True,True,False,1.8949290516107609,3.1790752022734545,2.0562826345364252e-08,"[4.442942142486572, 3.63773775100708]","[3.3796757190070847, 3.804463118475291]","[2.2570801720787337, 1.9580201098468435]",0.0,0.76645827293396,0.009999998258337762,0.013704748787286718
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,1,old,True,False,True,True,False,1.808288454042993,4.090872107770048,9.292270988225937e-08,"[4.434871196746826, 4.425499439239502]","[1.9870925164780444, 3.860031769485131]","[2.9391967352186157, 1.7649409325175947]",0.0,0.7179641723632812,0.00999999945574823,0.020610603539930977
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,2,old,True,False,True,True,False,2.5273071411624954,3.1475052761023954,-9.701276818911234e-12,"[3.6314854621887207, 3.4088828563690186]","[4.030562708424548, 2.2949003760191515]","[1.907422177412459, 1.9800897449657533]",0.0,0.7643413543701172,0.009999998345555884,0.01939309685420803
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,3,old,True,False,True,True,False,1.3448894127181124,2.8552455872708458,-1.9194461250056823e-08,"[3.9045894145965576, 3.5034966468811035]","[4.04092066219019, 2.8394369712479763]","[1.3546957551557244, 1.9524269446111289]",0.0,0.7647709846496582,0.009999998974558066,0.015035912019256045
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,4,old,True,False,True,True,False,1.6908059272753224,3.043425098783502,5.25692788263162e-08,"[4.699217319488525, 3.7424674034118652]","[3.9604106267093253, 3.490056538138785]","[2.29564386753141, 1.479331096968758]",0.0,0.7536001205444336,0.009999999420459142,0.01656746999875951
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,5,full_PPO,True,True,True,True,False,0.7087919011255427,1.0495445567694568,2.7889230599006017e-08,"[3.7765395641326904, 3.171602487564087]","[3.9073927402850073, 3.369657090466338]","[1.438721981984187, 1.1540182417456988]",0.0,0.7246332168579102,0.010000000995648234,0.01855099158002398
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,6,old,True,False,True,True,False,2.7802450603420215,3.914941800371236,-5.8448252578576405e-08,"[3.4134202003479004, 4.429396629333496]","[2.4231085587613226, 3.899443307321268]","[1.9836772336454205, 2.20968639802183]",0.0,0.7587270736694336,0.010000000153803996,0.015911944900856907
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,7,old,True,False,True,True,False,1.7568481484594252,3.8959712787295167,-3.695022314786911e-08,"[5.659701347351074, 4.079949855804443]","[5.177707086398551, 4.126458655991819]","[1.8549042425614655, 1.6069033328771565]",0.0,0.7155094146728516,0.01000000091005258,0.01449880954160589
