env,seed,anchor,target,metric,channel,old_sample_risk,old_det_risk,predicted_sample_risk,measured_sample_risk,measured_det_risk,predicted_delta,sample_delta,det_delta,proxy_minus_sample,sample_minus_det,proxy_minus_det,outside_probability_range
DiagReachK3,180,18,raw,KL,1,0.265625,0.0,0.2851891045237821,0.28125,0.09375,0.019564104523782107,0.015625,0.09375,0.003939104523782107,-0.078125,-0.0741858954762179,False
DiagReachK3,180,18,raw,KL,2,0.109375,0.0,0.17578017490511041,0.15625,0.0,0.06640517490511041,0.046875,0.0,0.019530174905110415,0.046875,0.06640517490511041,False
DiagReachK3,180,18,raw,KL,any,0.453125,0.0,0.5033258840417513,0.5,0.09375,0.050200884041751236,0.046875,0.09375,0.0033258840417512356,-0.046875,-0.043549115958248764,False
DiagReachK3,180,18,raw,W2,0,0.203125,0.0,0.2670558143649721,0.28125,0.0,0.06393081436497211,0.078125,0.0,-0.01419418563502789,0.078125,0.06393081436497211,False
DiagReachK3,180,18,raw,W2,1,0.265625,0.0,0.2923523804399438,0.28125,0.109375,0.026727380439943844,0.015625,0.109375,0.011102380439943844,-0.09375,-0.08264761956005616,False
DiagReachK3,180,18,raw,W2,2,0.109375,0.0,0.18541579006960318,0.15625,0.0,0.0760407900696032,0.046875,0.0,0.029165790069603195,0.046875,0.0760407900696032,False
DiagReachK3,180,18,raw,W2,any,0.453125,0.0,0.5252038332403626,0.515625,0.109375,0.07207883324036259,0.0625,0.109375,0.009578833240362586,-0.046875,-0.037296166759637414,False
DiagReachK3,186,21,shaped,KL,0,0.3125,0.0,0.36206378559459845,0.296875,0.0,0.04956378559459847,-0.015625,0.0,0.06518878559459847,-0.015625,0.04956378559459847,False
DiagReachK3,186,21,shaped,KL,1,0.15625,0.0,0.14686512395237492,0.171875,0.0,-0.00938487604762508,0.015625,0.0,-0.025009876047625078,0.015625,-0.00938487604762508,False
DiagReachK3,186,21,shaped,KL,2,0.15625,0.0,0.1342209936287376,0.15625,0.0,-0.022029006371262403,0.0,0.0,-0.022029006371262403,0.0,-0.022029006371262403,False
DiagReachK3,186,21,shaped,KL,any,0.375,0.0,0.42028463776876623,0.40625,0.0,0.04528463776876621,0.03125,0.0,0.014034637768766213,0.03125,0.04528463776876621,False
DiagReachK3,186,21,shaped,W2,0,0.3125,0.0,0.3993449633596043,0.296875,0.0,0.08684496335960427,-0.015625,0.0,0.10246996335960427,-0.015625,0.08684496335960427,False
DiagReachK3,186,21,shaped,W2,1,0.15625,0.0,0.1642081342571646,0.171875,0.0,0.0079581342571646,0.015625,0.0,-0.007666865742835399,0.015625,0.0079581342571646,False
DiagReachK3,186,21,shaped,W2,2,0.15625,0.0,0.15120260478176376,0.15625,0.0,-0.005047395218236244,0.0,0.0,-0.005047395218236244,0.0,-0.005047395218236244,False
DiagReachK3,186,21,shaped,W2,any,0.375,0.0,0.4616621070327957,0.40625,0.0,0.08666210703279571,0.03125,0.0,0.05541210703279571,0.03125,0.08666210703279571,False
