env,seed,cycle,anchor,kernel,channel,budget,mean_cost,cost_over_budget,q50,q90,q95,q99,event,positive_excess,any_event,success,joint,raw_reward,shaped_reward,penalty,mean_feasible_with_events
DiagReachK3,187,6,26,sample_W2,2,12.5,7.751830577850342,0.6201464462280274,7.595905303955078,12.241398811340332,12.854863166809082,13.952241897583008,0.0859375,0.007550935149192809,0.3828125,0.3359375,0.1875,6.7258195877075195,5.662259578704834,1.0635595321655273,True
DiagReachK3,187,6,26,sample_KL_mean,0,7.0,4.745502471923828,0.6779289245605469,4.591257095336914,7.8771233558654785,9.719207763671875,10.80992603302002,0.2265625,0.046281783708504276,0.3515625,0.296875,0.1796875,6.586376190185547,5.637906074523926,0.9484705924987793,True
DiagReachK3,187,6,26,sample_KL_mean,1,6.5,4.056275367736816,0.6240423642672025,3.8966312408447266,6.826583385467529,7.585696220397949,8.182464599609375,0.1640625,0.01925599173857616,0.3515625,0.296875,0.1796875,6.586376190185547,5.637906074523926,0.9484705924987793,True
DiagReachK3,187,6,26,sample_KL_mean,2,12.5,7.48265266418457,0.5986122131347656,7.279782295227051,12.011222839355469,12.567474365234375,13.618507385253906,0.0546875,0.006003385186195373,0.3515625,0.296875,0.1796875,6.586376190185547,5.637906074523926,0.9484705924987793,True
DiagReachK3,187,6,26,sample_KL_std,0,7.0,4.924501419067383,0.7035002027239118,4.817890167236328,8.109477043151855,9.933923721313477,10.899022102355957,0.2421875,0.05287968314119748,0.421875,0.390625,0.1953125,6.8623552322387695,5.28912353515625,1.5732316970825195,True
DiagReachK3,187,6,26,sample_KL_std,1,6.5,4.722911834716797,0.726601820725661,4.450645446777344,7.729536533355713,8.590312004089355,9.003019332885742,0.2421875,0.04707409212222466,0.421875,0.390625,0.1953125,6.8623552322387695,5.28912353515625,1.5732316970825195,True
DiagReachK3,187,6,26,sample_KL_std,2,12.5,8.327192306518555,0.6661753845214844,8.24036693572998,13.030157089233398,13.622036933898926,14.99177074432373,0.1484375,0.01580246984958649,0.421875,0.390625,0.1953125,6.8623552322387695,5.28912353515625,1.5732316970825195,True
DiagReachK3,187,6,26,sample_W2_mean,0,7.0,4.857871055603027,0.693981579371861,4.760669708251953,7.957508087158203,9.897109031677246,10.891424179077148,0.2421875,0.04978994546192033,0.3828125,0.3359375,0.1875,6.71637487411499,5.62785530090332,1.0885193347930908,True
DiagReachK3,187,6,26,sample_W2_mean,1,6.5,4.241985321044922,0.6526131263146033,4.079355239868164,6.968234539031982,7.755715847015381,8.459661483764648,0.1875,0.024288612489516918,0.3828125,0.3359375,0.1875,6.71637487411499,5.62785530090332,1.0885193347930908,True
DiagReachK3,187,6,26,sample_W2_mean,2,12.5,7.761163711547852,0.6208930969238281,7.557004451751709,12.311078071594238,12.849566459655762,13.938864707946777,0.0859375,0.007629432082176209,0.3828125,0.3359375,0.1875,6.71637487411499,5.62785530090332,1.0885193347930908,True
DiagReachK3,187,6,26,sample_W2_std,0,7.0,4.919288635253906,0.7027555193219867,4.799282550811768,8.115335464477539,9.961798667907715,10.90450668334961,0.2421875,0.053082513489893506,0.4296875,0.390625,0.1953125,6.864284992218018,5.2891621589660645,1.5751229524612427,True
DiagReachK3,187,6,26,sample_W2_std,1,6.5,4.72913122177124,0.7275586495032678,4.434780597686768,7.7120866775512695,8.573064804077148,8.960928916931152,0.25,0.046967923641204834,0.4296875,0.390625,0.1953125,6.864284992218018,5.2891621589660645,1.5751229524612427,True
DiagReachK3,187,6,26,sample_W2_std,2,12.5,8.324750900268555,0.6659800720214843,8.232227325439453,13.003682136535645,13.636396408081055,14.998490333557129,0.1484375,0.01584215939044952,0.4296875,0.390625,0.1953125,6.864284992218018,5.2891621589660645,1.5751229524612427,True
