env,seed,metric,combo,inner_reward,outer_reward,job,cycle,steps,phase,episodes,raw_reward,shaped_reward,penalty,joint,any_event,cost_mean,event,excess
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,17,8640,selection,12,9.200830937290448,9.085891724491375,0.11493921279907227,0.6666666666666666,0.3333333333333333,"[5.845063050587972, 5.324322938919067]","[0.3333333333333333, 0.0]","[0.021717078155941445, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,17,8640,acceptance,8,9.336515792951104,9.336515792951104,0.0,1.0,0.0,"[5.877324461936951, 5.544766664505005]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,18,9120,exploration,20,7.31539259542711,5.621632230179383,1.6937603652477264,0.25,0.45,"[4.368171381950378, 4.920724973082542]","[0.15, 0.3]","[0.040567243099212655, 0.06915588776270548]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,18,9120,selection,12,9.280189852282637,9.242118552689984,0.03807129959265391,0.6666666666666666,0.3333333333333333,"[5.88785986105601, 5.573078910509746]","[0.3333333333333333, 0.16666666666666666]","[0.00551233026716443, 0.002049856715732138]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,18,9120,acceptance,8,9.341876837718882,9.341876837718882,0.0,1.0,0.0,"[5.881340265274048, 5.561450481414795]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,19,9600,exploration,20,7.830265543460847,4.6059327936172485,3.2243327498435974,0.25,0.5,"[5.531826472282409, 5.27112489938736]","[0.35, 0.3]","[0.12612037658691405, 0.06914151509602864]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,19,9600,selection,12,9.186077907829409,9.086362068999732,0.09971583882967631,0.6666666666666666,0.3333333333333333,"[5.64220404624939, 5.362500627835591]","[0.3333333333333333, 0.0]","[0.019870963361528177, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,19,9600,acceptance,8,9.314834294604951,9.314834294604951,0.0,1.0,0.0,"[5.686069965362549, 5.596763491630554]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,20,10080,exploration,20,7.425636320998892,6.0691565868165345,1.3564797341823578,0.3,0.4,"[4.6804193437099455, 4.576984852552414]","[0.25, 0.15]","[0.023686492443084718, 0.06378623644510904]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,20,10080,selection,12,9.090452283446819,8.789670879468153,0.30078140397866565,0.5833333333333334,0.4166666666666667,"[6.160857558250427, 5.033623298009236]","[0.4166666666666667, 0.0]","[0.040833983156416155, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,20,10080,acceptance,8,8.879695236298721,8.879695236298721,0.0,1.0,0.0,"[5.667487978935242, 4.595615774393082]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,21,10560,exploration,20,7.642585138747236,5.419105435678502,2.223479703068733,0.1,0.6,"[5.232804781198501, 5.101578724384308]","[0.35, 0.35]","[0.07007413705190023, 0.07535489002863566]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,21,10560,selection,12,8.997164305660894,8.775219158941278,0.22194514671961466,0.6666666666666666,0.3333333333333333,"[5.509305755297343, 5.16005402803421]","[0.3333333333333333, 0.3333333333333333]","[0.025845163398318827, 0.009212374687194843]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,21,10560,acceptance,8,9.317587782841292,9.317587782841292,0.0,1.0,0.0,"[5.7923277616500854, 5.577666878700256]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,22,11040,exploration,20,7.802981633825693,5.1039218792156325,2.6990597546100616,0.2,0.55,"[5.608576679229737, 4.8196519136428835]","[0.45, 0.2]","[0.11870798667271934, 0.04532830317815145]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,22,11040,selection,12,9.01756859738004,8.807628049635605,0.20994054774443308,0.5833333333333334,0.4166666666666667,"[5.278349717458089, 5.430379629135132]","[0.25, 0.3333333333333333]","[0.005060878064897319, 0.02297396792305841]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,22,11040,acceptance,8,8.726047128129814,8.726047128129814,0.0,1.0,0.0,"[4.826066732406616, 5.096851944923401]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,23,11520,exploration,20,7.788397553536923,6.299782785747083,1.4886147677898407,0.3,0.5,"[5.460052114725113, 4.598835563659668]","[0.35, 0.2]","[0.07895912329355877, 0.03050828377405802]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,23,11520,selection,12,9.164352835790487,8.99272697327154,0.17162586251894632,0.6666666666666666,0.3333333333333333,"[5.593166947364807, 5.329408685366313]","[0.0, 0.3333333333333333]","[0.0, 0.02046246661080255]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,23,11520,acceptance,8,9.343646723404525,9.343646723404525,0.0,1.0,0.0,"[5.811891794204712, 5.657406568527222]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,24,12000,exploration,20,7.421159378617612,5.824585623472539,1.596573755145073,0.25,0.5,"[5.123624527454377, 4.356768065690995]","[0.35, 0.25]","[0.09600252310434977, 0.025159025192260744]"
