queue,task,arm,training_seed,mode,episodes,reward,cost,episode_budget_exceedance,checkpoint_sha256
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda0.1,2,deterministic,30,26.265074855168315,58.6,0.8333333333333334,62adf2a68c3387991e898fbf06f883287d9d239b20b0ae6f1ebb7b0cb7d0af33
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda0.1,2,stochastic,30,26.78406566189203,61.36666666666667,0.9,62adf2a68c3387991e898fbf06f883287d9d239b20b0ae6f1ebb7b0cb7d0af33
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda0.1,3,deterministic,30,27.03551812783394,53.233333333333334,0.8333333333333334,c66c5b3321b05cff886290e8a1a688a8c23faa8f920a300b316abc57a1030d44
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda0.1,3,stochastic,30,27.01985486106296,53.5,0.8,c66c5b3321b05cff886290e8a1a688a8c23faa8f920a300b316abc57a1030d44
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda10,1,deterministic,30,1.7153258693765832,10.1,0.1,353db313750459bf95ed06736572ddde901d61c08a08272f64220c64da981d12
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda10,1,stochastic,30,0.09063969403657751,1.7,0.03333333333333333,353db313750459bf95ed06736572ddde901d61c08a08272f64220c64da981d12
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda10,2,deterministic,30,-0.26038855505053904,7.066666666666666,0.06666666666666667,ae19695d096c9da75e7984bdbf6a504dfc6352a34ec00cf1478a23f708ff2c0b
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda10,2,stochastic,30,-1.175678015299882,4.833333333333333,0.06666666666666667,ae19695d096c9da75e7984bdbf6a504dfc6352a34ec00cf1478a23f708ff2c0b
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda10,3,deterministic,30,0.22719831125099765,8.566666666666666,0.1,737b6ea3dbc5b6b8631dca215405d4bc8e5c477070c8d0a1ec8619b25e8e58c9
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda10,3,stochastic,30,1.3480465435453204,1.7,0.0,737b6ea3dbc5b6b8631dca215405d4bc8e5c477070c8d0a1ec8619b25e8e58c9
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda1,1,deterministic,30,25.842190096025323,35.63333333333333,0.6333333333333333,5de43fec2f36a7325555be2008e17b9a002e6bca3b308cca05c47dce91899354
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda1,1,stochastic,30,25.925081091424325,47.86666666666667,0.7666666666666667,5de43fec2f36a7325555be2008e17b9a002e6bca3b308cca05c47dce91899354
