suite,method,progress_pct,n_tasks,n_seeds_total,cost_over_budget_q25,cost_over_budget_median,cost_over_budget_q75,normalized_return_q25,normalized_return_median,normalized_return_q75
SafePO,TRPO-Lag,8.0,10,75,0.6158303552347817,2.2234942857142856,3.1383211699595166,0.12241545233414275,0.19356389933254448,0.41889434559320254
SafePO,TRPO-Lag,9.0,10,75,0.6702592020664613,2.157897142857143,3.129735574934725,0.11307906737772949,0.22106100239062917,0.5204575270457534
SafePO,TRPO-Lag,10.0,10,75,0.7298114769892066,2.2047966666666667,3.2253375532667667,0.10583255397260756,0.26594894826947146,0.6033995804115307
SafePO,TRPO-Lag,11.0,10,75,0.7192372057758254,2.299247142857143,3.340459339557321,0.08983767913022016,0.31176795517689027,0.6285535856543218
SafePO,TRPO-Lag,12.0,10,75,0.7220488431553809,2.255732380952381,3.5131061051335766,0.09490050369593334,0.3514714803556192,0.6521601249783845
SafePO,TRPO-Lag,13.0,10,75,0.7960865109921073,2.3915633333333335,3.6178812744978925,0.11959803724457188,0.3314526467829805,0.6947915270726749
SafePO,TRPO-Lag,14.0,10,75,0.8417303420103193,2.337515,3.7995719547549585,0.14572017102198082,0.2756758094857865,0.7418862648311179
SafePO,TRPO-Lag,15.0,10,75,0.8267118348452049,2.2683857142857144,3.882056234593931,0.160971543691669,0.2797414217639337,0.7808523603567712
SafePO,TRPO-Lag,16.0,10,75,0.8049680639821732,2.1481080952380953,3.919559344605122,0.16563954523494745,0.4281985908277188,0.8080099845328003
SafePO,TRPO-Lag,17.0,10,75,0.8459778456308853,2.037735714285714,3.8763683405513523,0.16831554183932218,0.48719517599426654,0.8332365638164354
SafePO,TRPO-Lag,18.0,10,75,0.9708896086100058,2.081844285714286,3.7119356916823323,0.1714598802775949,0.5079997536395382,0.8574553314046585
SafePO,TRPO-Lag,19.0,10,75,1.0824445667987221,2.1270000000000002,3.593479191435129,0.18713109652985177,0.448031567660538,0.8783463020234296
SafePO,TRPO-Lag,20.0,10,75,1.191267945771707,2.135950476190476,3.528051687727453,0.20956710505921397,0.3725928809411323,0.8969343979683796
SafePO,TRPO-Lag,21.0,10,75,1.3320527235186015,2.0620161904761902,3.4395060026298556,0.23061432975020663,0.31915746369665254,0.9082458306417839
SafePO,TRPO-Lag,22.0,10,75,1.4841387373387689,1.9179704761904763,3.370205301221963,0.2431866221777852,0.25192380225775013,0.9189920129983133
SafePO,TRPO-Lag,23.0,10,75,1.4140100000000002,1.8540869132032323,3.334387621973921,0.23143742478286605,0.34341040652464894,0.9282612033592984
SafePO,TRPO-Lag,24.0,10,75,1.223587142857143,2.0288557777700182,3.1528549399218244,0.24459908429033678,0.4503945558665554,0.9373982585843804
SafePO,TRPO-Lag,25.0,10,75,1.3968764285714288,2.155455613264481,2.8332304670880895,0.23988332884183056,0.50712327026605,0.9454602356745787
SafePO,TRPO-Lag,26.0,10,75,1.5394992857142857,2.128990714285714,2.640836031731483,0.2554439605900001,0.45568405028997055,0.9329724690138986
SafePO,TRPO-Lag,27.0,10,75,1.6225864285714287,2.052200714285714,2.5642496943050728,0.27138629626898264,0.457821071469921,0.9305516311787303
SafePO,TRPO-Lag,28.0,10,75,1.5989107142857144,2.0668825,2.7417339404310255,0.2901174206066717,0.5166655005529908,0.9278563070609186
SafePO,TRPO-Lag,29.0,10,75,1.5156757142857145,2.0732289285714285,2.795898057825377,0.29487912128138904,0.5984224243777975,0.9272164897949051
SafePO,TRPO-Lag,30.0,10,75,1.638792380952381,1.977490850354205,2.8456000343764334,0.3004115946103494,0.6293028820868285,0.9242448622844043
SafePO,TRPO-Lag,31.0,10,75,1.7339377773122184,1.8930142857142855,2.8691460627057186,0.30017323609710067,0.6040466301133808,0.9199060984595437
SafePO,TRPO-Lag,32.0,10,75,1.6801353933787735,1.9167752380952383,2.8798378345976765,0.3124267860915293,0.5487807417967281,0.9260167195102177
SafePO,TRPO-Lag,33.0,10,75,1.673023420647826,2.016420634920635,2.891129968206468,0.35028298255989837,0.5883052533110253,0.9386898861071128
SafePO,TRPO-Lag,34.0,10,75,1.6671858772608885,2.057838571428571,2.837781217773937,0.37920657254058043,0.6340846663568123,0.9233898063027308
SafePO,TRPO-Lag,35.0,10,75,1.704631198278372,2.0065557142857147,2.9801423983275,0.40286547698509756,0.670178477656727,0.9141186826794883
SafePO,TRPO-Lag,36.0,10,75,1.5153049071252456,2.0083657142857145,3.202012178230763,0.4039238724543091,0.6604074694092317,0.9127032585712349
SafePO,TRPO-Lag,37.0,10,75,1.4156332352938685,1.9915671428571426,3.3268966726440703,0.4403122472073124,0.6533463431758687,0.9190081443357261
SafePO,TRPO-Lag,38.0,10,75,1.4391040885980901,1.9823125000000001,3.4876131591172914,0.46201170953313,0.6486343513009738,0.900421003814094
SafePO,TRPO-Lag,39.0,10,75,1.4019330675717825,1.9508953571428571,3.4982032298997416,0.4966408491711177,0.6456146159892002,0.8834631256293716
SafePO,TRPO-Lag,40.0,10,75,1.217679412144122,1.909739642857143,3.234269280007495,0.4919849275312456,0.6144160250809603,0.8678969479204415
